+1 1:-6.164736 2:-0.012825012 3:5.274423 
+1 1:-2.0083866 2:0.22331047 3:3.0199156 
+1 1:0.64926696 2:-2.373909 3:2.2330103 
+1 1:-0.8498664 2:0.7920842 3:2.504891 
+1 1:-2.1263902 2:-1.9382539 3:-1.8324876 
+1 1:-1.6334219 2:0.20220041 3:0.7895136 
+1 1:1.6546693 2:-0.9324713 3:4.164174 
+1 1:-1.5202875 2:-2.4066982 3:-3.6900077 
+1 1:0.5513149 2:-3.1792703 3:-0.6662383 
+1 1:-0.9856616 2:4.175086 3:2.9626327 
+1 1:-0.72879994 2:-1.2035866 3:-4.080947 
+1 1:0.28825486 2:-0.70723104 3:6.618691 
+1 1:-1.8123474 2:-0.8264003 3:-0.96808577 
+1 1:-1.9980786 2:-1.4850025 3:3.7144146 
+1 1:0.21395028 2:0.01573944 3:-3.3929663 
+1 1:-2.1467986 2:1.3661189 3:0.6595311 
+1 1:0.2178464 2:-0.35654783 3:-3.0150988 
+1 1:3.8603742 2:-1.1138744 3:7.8349924 
+1 1:-0.8979058 2:-1.3601604 3:0.39376307 
+1 1:0.8850175 2:-1.551341 3:0.083417416 
+1 1:-0.13269544 2:0.9063544 3:3.337834 
+1 1:-0.77992606 2:-0.12560034 3:-1.3879876 
+1 1:0.19616628 2:0.25562668 3:4.488677 
+1 1:-0.85579824 2:-1.0033021 3:-2.7797842 
-1 1:-2.5405421 2:0.45304298 3:-4.0108075 
-1 1:1.3818433 2:0.08760834 3:-0.3974681 
-1 1:0.48082662 2:0.26012516 3:-0.42153406 
-1 1:3.9502559 2:-1.602181 3:0.61608076 
-1 1:0.4480732 2:0.07262993 3:-0.032462597 
-1 1:0.21635717 2:0.0144815445 3:0.14275408 
-1 1:0.13452703 2:0.23485851 3:-0.28332043 
-1 1:-0.007316828 2:-0.0087509155 3:-0.009600639 
-1 1:-1.0973144 2:0.31533527 3:-1.2624669 
+1 1:0.26435733 2:-1.5277629 3:1.1432419 
+1 1:-1.1434468 2:-1.0757914 3:3.077405 
+1 1:-0.10429704 2:-1.5571504 3:-0.72158146 
+1 1:1.0871906 2:-1.0711884 3:1.148489 
+1 1:0.21041298 2:1.2643652 3:1.7752867 
+1 1:0.03843093 2:-1.8157716 3:-2.1119149 
+1 1:-0.48093402 2:0.89548206 3:3.5223393 
+1 1:-1.0948045 2:0.28216267 3:-1.4087126 
+1 1:0.1861735 2:0.2871189 3:1.7797685 
+1 1:-0.5492711 2:-0.88785505 3:0.028451443 
+1 1:-1.1142809 2:0.92977095 3:-0.04672432 
+1 1:1.8309326 2:-0.9480829 3:0.62619305 
+1 1:-0.92813903 2:-1.3378539 3:-2.16195 
+1 1:-1.1429806 2:0.10278177 3:-0.54247713 
+1 1:1.803751 2:-0.4843645 3:-0.19407654 
+1 1:-1.2795138 2:0.76528215 3:-0.081361294 
+1 1:0.2146039 2:-1.7542272 3:-1.9066491 
+1 1:-2.4434059 2:2.6994305 3:0.3626089 
+1 1:1.0873983 2:-0.77310324 3:-0.17202187 
+1 1:-0.5532162 2:1.6377463 3:-0.3598709 
+1 1:-0.11504865 2:-1.3942275 3:-3.201716 
+1 1:-1.3848157 2:1.0620499 3:0.787416 
+1 1:0.0164963 2:-1.4245658 3:-3.2389743 
+1 1:-2.1403751 2:0.16583824 3:1.2547421 
-1 1:-0.26238108 2:-0.34250164 3:-0.5665035 
-1 1:-0.27762222 2:0.8319521 3:-0.4741559 
-1 1:1.4265679 2:0.44255447 3:0.2689786 
-1 1:0.07791448 2:0.31295013 3:-0.070486546 
-1 1:0.28872085 2:0.066827774 3:-0.06164837 
-1 1:0.16340268 2:-0.021846771 3:0.07664633 
-1 1:-0.03350401 2:0.064520836 3:-0.10857248 
-1 1:-0.060331225 2:0.086551666 3:-0.21367502 
-1 1:-0.032897472 2:4.4822693E-4 3:-0.19779778 
-1 1:0.1320287 2:-0.07601547 3:0.27637768 
-1 1:-0.951282 2:-0.15396023 3:0.2009182 
-1 1:-0.9869062 2:0.030472755 3:-0.4679811 
-1 1:-1.2572746 2:-0.17935753 3:-0.34694743 
+1 1:-0.02202797 2:-0.60229206 3:0.20592308 
+1 1:0.70584595 2:-1.212997 3:-1.7533085 
+1 1:1.0863467 2:-0.3825178 3:0.95522356 
+1 1:-0.13900304 2:0.26107597 3:-0.8513427 
+1 1:0.53645325 2:-1.9895368 3:-0.62998104 
+1 1:-0.8534845 2:3.108839 3:2.0876346 
+1 1:-0.97556496 2:-1.1000447 3:-3.6785698 
+1 1:1.688456 2:0.7799139 3:1.5610614 
+1 1:0.63892007 2:-0.5898776 3:-0.4119873 
+1 1:0.8395318 2:-1.0550637 3:0.96727085 
+1 1:0.62652254 2:2.3473701 3:1.1453137 
+1 1:-0.57693475 2:-1.6273026 3:-2.1694777 
+1 1:0.7019424 2:1.3592939 3:0.42569685 
+1 1:-0.54875356 2:-0.9009199 3:-2.5039847 
+1 1:-0.53196937 2:1.7006016 3:0.5799475 
+1 1:-0.56252915 2:0.25880194 3:1.2130718 
+1 1:-0.25338018 2:-0.14875412 3:-2.07515 
+1 1:0.034729302 2:-2.264552 3:2.6655178 
+1 1:-0.6372881 2:-0.4210148 3:0.78509045 
+1 1:-1.6787038 2:-0.2215476 3:-2.1246948 
+1 1:0.57038313 2:-0.37345743 3:1.5380888 
+1 1:-0.385505 2:-0.5846658 3:1.9475875 
+1 1:-0.39281905 2:-0.038900852 3:-4.244813 
+1 1:1.9201576 2:0.5149102 3:1.7414012 
+1 1:0.31600922 2:-0.3554163 3:1.9176593 
+1 1:0.7751616 2:-0.12800694 3:4.765374 
+1 1:0.611801 2:-1.957375 3:-2.3893714 
+1 1:1.7890154 2:1.6907701 3:2.492659 
+1 1:-2.3017004 2:-2.368939 3:-1.8142753 
+1 1:-1.1433368 2:1.1931534 3:0.5847039 
+1 1:0.48076233 2:-0.54382324 3:-2.1223583 
+1 1:-0.35507178 2:1.2596388 3:-1.024642 
-1 1:-2.0042028 2:-0.044864178 3:-1.7384477 
-1 1:1.1964254 2:0.2251215 3:-0.17192698 
-1 1:-0.18660533 2:0.14975023 3:0.09006262 
-1 1:0.46139646 2:0.023795128 3:1.7206087 
-1 1:2.500926 2:-0.45344353 3:2.7329307 
-1 1:-0.5591785 2:-0.04942131 3:-0.59679365 
-1 1:-10.119862 2:4.714652 3:5.1719503 
-1 1:-6.049074 2:0.67016506 3:4.4204707 
-1 1:-3.2548263 2:-0.35840988 3:2.6847258 
-1 1:-1.8043827 2:-0.42996407 3:1.5157466 
-1 1:-0.85713243 2:-0.28526306 3:0.8273541 
-1 1:-0.39296198 2:-0.21272182 3:0.67521685 
-1 1:-0.2900312 2:-0.15348053 3:0.398952 
-1 1:0.040367126 2:-0.12378311 3:0.16762832 
-1 1:-0.05283642 2:-0.064126015 3:0.2372092 
-1 1:-0.4150102 2:-0.1971798 3:-0.20740795 
-1 1:0.3119638 2:-0.025791168 3:0.077013135 
-1 1:2.572586 2:-0.7514248 3:-1.4474616 
-1 1:0.16094041 2:-0.46773624 3:2.3360734 
-1 1:-5.984212 2:-2.7768984 3:4.8479548 
-1 1:0.5970782 2:-1.104702 3:5.521155 
-1 1:0.40138412 2:-0.0057430267 3:0.28950274 
-1 1:-0.1442101 2:-0.10766506 3:-0.5321274 
-1 1:-0.20163012 2:-0.16776466 3:0.24191523 
-1 1:-0.0136396885 2:-0.025047302 3:0.015202284 
-1 1:-0.19281626 2:-0.032086372 3:-0.16858542 
-1 1:-0.07362461 2:0.037504196 3:-0.6509762 
-1 1:-0.18634272 2:-0.10975361 3:0.17779481 
-1 1:-0.0032906532 2:-0.0621624 3:0.17513669 
-1 1:-0.09786296 2:-0.018158913 3:0.0887655 
-1 1:0.019596577 2:-0.11707592 3:-0.038767338 
-1 1:-0.11182165 2:-0.044636726 3:-0.025144577 
-1 1:-0.096814156 2:-0.008997917 3:0.03658557 
+1 1:-0.5664109 2:-3.3241367 3:1.802283 
+1 1:2.2569427 2:-3.6860743 3:3.389453 
